hotelId,groupingKey
05249b2e-6cee-4225-a18f-73dea585e566,be605983e1868ad74e02d30d299c00d827233260
422d2160-593a-4f5c-a11f-ba5c578f87ef,cetus-c00ec227bf5469930309acf4782cf6819222ae2503d073b62ecdf0b3d91c93b4
3ac14842-5c29-4d80-a662-33034957749b,cetus-7683ffa4b7d29ef5b8af6c06d580a4309c05ad634e0aa720e204c4b6709aa781
c51c975c-f23a-42cd-a8bb-4e4f9e03e8d0,e3623299ca445975ec2109593cf7fbcad9c4f87b
4c227f6b-3ae9-4998-adee-ee0b64187113,cetus-a3c7e90305cc6be5fd0677c30c10ccac60a5113ef9df05ca34e139bee7500207
5b3e3edc-1c66-4bf3-bcec-996af64b54a3,33136f333b2188ec00e7f455811abf8f659d4052
cd7c14c5-b9c0-4e9f-9761-de18eb9dd79c,d6ee0af22a3e31733dc081296f81a0f86c534de8
cd7c14c5-b9c0-4e9f-9761-de18eb9dd79c,f14bd2560a3a51a6067b2282909a30193ff17270
105842fa-d0a5-4da1-a43a-c2a30a7a495b,e296f1b6c74eb9ad1a642c62bcbb8d19ace42b20
8a88829f-8f55-4cd8-ae10-d25385b2fd01,cetus-641d95f365b32932896a13202be4fcb55bcb0afe1a13d2a2a6e3f5a52af4f9cb
3cd417a1-e97e-41f3-ae8a-00f79efab4c0,a3cd621777fbab232336c561c93afc2e5de756be
b5642793-2009-4650-8c81-28dc3828ef68,cetus-b85a5549a2b209a520fd3ca8e71aeeb2897d4b24b3bc02562df490cb56f00841
3b363787-a03b-43ea-a6e1-cc53c4c604a6,702a438dbaf1f16dab2d269bc8dac9ca5704f650
8292444b-54d9-407f-808e-7db12525e3d0,f0625604d3b56abb5f9b1abce593d3c460161293
d652d2d6-8148-4877-b2bf-351fc4c4f3d9,6f3c57a76a90e3b2de8e09edebf089022608917a
9c7cb4bf-050a-4a44-9562-b93707ca039f,cetus-0494edacaa1b46c518cfcf16937788e6d65444004fce961c81ca68b95a0220b6
ec9d47d7-4c51-4c82-b049-16b94d4722bd,72022439834759a66f80caa3f42f4ef35bd92a8f
0d2366c0-76c8-4787-9839-9c815f3a5375,49337d0c9bdc6e2fac224993c9169e1e0e2a7a58
8a88829f-8f55-4cd8-ae10-d25385b2fd01,cetus-7d6bad5ee2371cc6e2fbf9446dbd12038aa4287451a4a28784b507999d04cca8
6c0d4faf-03c6-4547-b6e2-d64306f97fe5,cetus-7d30fb803f7b0057cce1d4420f09a054a548b895b84d0c9af75743c46812b0ad
8c6c3412-a421-4c09-94ce-c6b716366fd6,cetus-f14f5adf38e5ab0267a350df312c7abafdc75c431c1bf0051b7e73a5638ec8e4
e9f0a23a-5616-4fc2-89c9-8445d0e8eba0,51c9c8837043011b77654175710a300a170f7309
e32806b4-b202-4938-adc8-c53f3b5e5a4e,04286b445a41462af3a7237eade1e6abd75e82b5
52db54c1-6da6-41ef-9376-714383a9b4a6,e3623299ca445975ec2109593cf7fbcad9c4f87b
42860da0-bd52-4805-afa4-ef4a1ac18d89,9315e9e43bc9edd6a488527f734312bd359d06f0
a2df5907-ca88-4c95-8a8d-b672da74a59c,8f4fffbc068b8170cf7f2fa6f311f8332e4a28ee
422d2160-593a-4f5c-a11f-ba5c578f87ef,cetus-6cbf3c03da4f2abd11cb61a7a9f3d9e0430dd6a4043c982a526fa3dfe8578fc8
1d3df71b-ff16-4a64-bd67-3a26a7c1bc9c,cetus-4a367c86aeedab671cb48a67344b212a81386a505021b26c88588dd42af12fa5
b29e42ee-d35a-45d1-bc39-b06cf15a1fbb,d9dd3d53c1f28f50d04ae92348110ae265629fbc
1162cd1f-9c0e-4316-ad6e-3b5a238d4a30,0db6bc63ea77221b8c38883cd8a2c91fe213a3a7
94b9daf9-9a73-46d4-a90a-31c07922b1b3,cetus-ceef7f192e9d155767cc6a3b9ac08869ef28c588bce1b0e5400e90cc1056b6ba
fe1dd39d-9726-41f6-9728-7278139ae5db,868ee0a0d4a596f77a87978101e7469f4edc1401
e7f2298f-9610-4896-9fab-5e063ac66681,1e28af2d7e58d86ca15c1adce043988d640ccec7
3c677f22-4713-4c3c-a6fb-bedd31818606,b971a8b7c5eaa7ae96cfd3c84d43cb77dc2a8352
62c01e75-0875-43fd-89e3-e400c39e2073,97909c47f2feb4d6f884c033f82526f6e82ca71c
e2e63dfb-8f2e-42cd-b189-f1aeffa6057e,35ba210a81baaf696b2c5bdca7ee1e09127a4a0f
